log10_MI,log10_MGUT,max_frac_mismatch,alpha_GUT,tau_p_eppi0_years
9.0,15.36636372889969,0.0463895317029572,0.023584351770483986,8.400923121874431e+32
9.037735849056604,15.371709664090053,0.045432522696573184,0.023582475043158257,8.826324129171044e+32
9.075471698113208,15.377058971853064,0.044475602522378595,0.02358059733609478,9.273555286406288e+32
9.11320754716981,15.38241162788264,0.04351877175115364,0.023578718658922998,9.743749117935697e+32
9.150943396226415,15.387767608136613,0.042562030947288915,0.023576839021169235,1.0238097444603568e+33
9.18867924528302,15.393126888833736,0.041605380668731096,0.02357495843226048,1.0757854513094546e+33
9.226415094339623,15.398489446448767,0.04064882146726517,0.023573076901523483,1.1304340291393683e+33
9.264150943396226,15.403855257709251,0.03969235388846784,0.02357119443818851,1.1878943939562666e+33
9.30188679245283,15.40922429959272,0.03873597847180972,0.023569311051388382,1.248312746512045e+33
9.339622641509434,15.414596549321516,0.03777969575080525,0.023567426750161977,1.3118429572568945e+33
9.377358490566039,15.419971984360725,0.036823506253016385,0.02356554154345399,1.3786469718074244e+33
9.415094339622641,15.425350582414127,0.03586741050019959,0.023563655440116956,1.448895237970633e+33
9.452830188679245,15.430732321420786,0.03491140900832321,0.023561768448912553,1.5227671555073305e+33
9.49056603773585,15.436117179551927,0.03395550228769405,0.023559880578512653,1.6004515498498183e+33
9.528301886792454,15.441505135207336,0.0329996908430447,0.02355799183750068,1.6821471710457375e+33
9.566037735849056,15.44689616701293,0.0320439751735412,0.02355610223437279,1.7680632193046257e+33
9.60377358490566,15.452290253816667,0.031088355772914987,0.023554211777539098,1.8584198985296808e+33
9.641509433962264,15.4576873746862,0.030132833129529597,0.023552320475324986,1.9534489993874837e+33
9.679245283018869,15.46308750890533,0.029177407726450645,0.023550428335971905,2.0533945134532965e+33
9.716981132075471,15.468490635971635,0.028222080041471684,0.02354853536763902,2.1585132801383442e+33
9.754716981132075,15.473896735592499,0.0272668505472757,0.023546641578403887,2.269075668107364e+33
9.79245283018868,15.479305787683487,0.02631171971142259,0.023544746976263766,2.3853662931132103e+33
9.830188679245284,15.484717772364544,0.025356687996428894,0.023542851569136766,2.507684774113883e+33
9.867924528301886,15.490132669957703,0.024401755859893584,0.023540955364862767,2.6363465298024724e+33
9.90566037735849,15.495550460984383,0.023446923754468725,0.023539058371204458,2.771683617681023e+33
9.943396226415095,15.500971126162423,0.022492192128006332,0.023537160595848573,2.9140456179652406e+33
9.981132075471699,15.5063946464035,0.021537561423577524,0.023535262046406644,3.0638005647444397e+33
10.018867924528301,15.511821002810597,0.02058303207954592,0.02353336273041606,3.221335926929558e+33
10.056603773584905,15.517250176675622,0.019628604529642404,0.02353146265534144,3.387059641668963e+33
10.09433962264151,15.522682149476223,0.018674279202975954,0.02352956182857518,3.5614012030236716e+33
10.132075471698114,15.528116902874828,0.0177200565241593,0.02352766025743785,3.744812808971034e+33
10.169811320754716,15.5335544187141,0.016765936913319724,0.023525757949180645,3.9377705696844765e+33
10.20754716981132,15.538994679016083,0.015811920786182685,0.023523854910984996,4.1407757806293593e+33
10.245283018867925,15.544437665979679,0.014858008554092458,0.02352195114996408,4.3543562637860844e+33
