log10_MI,log10_MGUT,max_frac_mismatch,alpha_GUT,tau_p_eppi0_years
9.0,16.142749549497214,0.02959257737143404,0.02342518978858147,1.085805267709043e+36
9.050420168067227,16.144615571702086,0.028437651819709614,0.02342379019362203,1.1047599726095811e+36
9.100840336134453,16.14648833267759,0.027282737914551027,0.02342238837043603,1.1241155558435589e+36
9.15126050420168,16.148367767731212,0.02612783717154841,0.023420984342563008,1.143880788531951e+36
9.201680672268907,16.150253813106744,0.02497295108457223,0.02341957813321192,1.164064646873744e+36
9.252100840336134,16.15214640596419,0.02381808112619895,0.023418169765267977,1.1846763169685303e+36
9.302521008403362,16.154045484363944,0.022663228748119175,0.023416759261298117,1.2057251997989681e+36
9.352941176470589,16.155950987249003,0.02150839538150943,0.023415346643557308,1.2272209163119468e+36
9.403361344537815,16.157862854428178,0.020353582437399934,0.02341393193399471,1.2491733126317776e+36
9.453781512605042,16.159781026559692,0.01919879130710318,0.023412515154258767,1.2715924654026921e+36
9.504201680672269,16.161705445135336,0.018044023362501906,0.02341109632570363,1.2944886872657807e+36
9.554621848739496,16.163636052465357,0.016889279956436902,0.023409675469393657,1.3178725324763147e+36
9.605042016806722,16.16557279166202,0.015734562423046477,0.023408252606110055,1.3417548026395192e+36
9.655462184873949,16.16751560662589,0.014579872078128773,0.02340682775635475,1.3661465526180296e+36
9.705882352941176,16.169464442030986,0.01342521021940829,0.023405400940356244,1.3910590965668245e+36
9.756302521008404,16.17141924331031,0.01227057812693519,0.023403972178074293,1.416504014119266e+36
9.806722689075631,16.17337995664207,0.011115977063326298,0.023402541489205467,1.4424931567300552e+36
9.857142857142858,16.17534652893653,0.009961408274133814,0.023401108893186827,1.4690386541805672e+36
9.907563025210084,16.177318907822006,0.008806872988117323,0.02339967440920142,1.496152921229298e+36
9.957983193277311,16.17929704163289,0.0076523724175048494,0.023398238056182376,1.5238486644509653e+36
10.008403361344538,16.181280879396223,0.006497907758349648,0.02339679985281767,1.552138889221328e+36
10.058823529411764,16.183270370819592,0.005343480190764359,0.02339535981755433,1.581036906889413e+36
10.109243697478991,16.185265466278675,0.004189090879212417,0.02339391796860271,1.6105563421187163e+36
10.159663865546218,16.187266116806708,0.0030347409727348,0.023392474323940354,1.640711140435278e+36
10.210084033613445,16.189272274080846,0.0018804316053092948,0.02339102890131688,1.6715155759123453e+36
10.260504201680671,16.191283890412823,0.0007261638959926527,0.023389581718256836,1.702984259106971e+36
10.3109243697479,16.193300918736384,0.0005121315899623252,0.02338813279206466,1.7351321451404187e+36
